iter	Passed	Remaining
417	3000	4178
418	3002	4163
419	3004	4149
420	3006	4135
421	3008	4120
422	3010	4107
423	3013	4093
424	3016	4080
425	3018	4066
426	3019	4052
427	3021	4038
428	3023	4024
429	3045	4037
430	3047	4023
431	3049	4009
432	3056	4002
433	3062	3994
434	3064	3980
435	3066	3966
436	3068	3953
437	3074	3945
438	3076	3931
439	3078	3917
440	3080	3904
441	3082	3891
442	3084	3877
443	3085	3864
444	3088	3851
445	3091	3839
446	3093	3827
447	3096	3814
448	3098	3801
449	3099	3788
450	3101	3775
451	3103	3762
452	3105	3750
453	3107	3737
454	3111	3726
455	3113	3714
456	3115	3701
457	3117	3689
458	3119	3676
459	3124	3668
460	3126	3655
461	3130	3645
462	3132	3633
463	3134	3621
464	3136	3608
465	3138	3596
466	3141	3585
467	3143	3573
468	3145	3560
469	3153	3556
470	3155	3544
471	3157	3532
472	3159	3520
473	3164	3511
474	3168	3502
475	3170	3490
476	3172	3478
477	3174	3466
478	3176	3454
479	3178	3442
480	3180	3431
481	3182	3420
482	3216	3442
483	3218	3431
484	3220	3419
485	3222	3408
486	3247	3420
487	3249	3408
488	3251	3397
489	3253	3386
490	3255	3374
491	3257	3363
492	3259	3351
493	3261	3340
494	3266	3332
495	3268	3321
496	3270	3309
497	3272	3298
498	3273	3287
499	3275	3275
500	3277	3264
501	3292	3266
502	3294	3255
503	3296	3244
504	3298	3233
505	3302	3223
506	3303	3212
507	3306	3201
508	3307	3190
509	3310	3180
510	3311	3169
511	3313	3158
512	3316	3148
513	3318	3137
514	3321	3128
515	3323	3117
516	3329	3110
517	3331	3099
518	3333	3089
519	3335	3079
520	3340	3071
521	3343	3061
522	3345	3051
523	3347	3040
524	3349	3030
525	3351	3019
526	3353	3009
527	3355	2999
528	3360	2992
529	3362	2981
530	3364	2971
531	3365	2960
532	3367	2950
533	3370	2940
534	3371	2930
535	3373	2920
536	3386	2919
537	3388	2910
538	3390	2900
539	3392	2890
540	3397	2882
541	3399	2872
542	3401	2862
543	3403	2852
544	3405	2843
545	3407	2833
546	3409	2823
547	3411	2813
548	3416	2806
549	3421	2799
550	3423	2789
551	3435	2787
552	3437	2778
553	3439	2768
554	3441	2759
555	3442	2749
556	3445	2739
557	3446	2730
558	3457	2727
559	3459	2717
560	3461	2708
561	3462	2698
562	3464	2689
563	3466	2679
564	3468	2670
565	3473	2663
566	3507	2678
567	3511	2671
568	3513	2661
569	3516	2652
570	3518	2643
571	3520	2634
572	3522	2624
573	3533	2622
574	3535	2613
575	3537	2603
576	3539	2594
577	3540	2585
578	3542	2575
579	3544	2566
580	3546	2557
581	3548	2548
582	3568	2552
583	3574	2546
584	3576	2537
585	3578	2527
586	3580	2518
587	3581	2509
588	3583	2500
589	3585	2491
590	3587	2482
591	3593	2476
592	3595	2467
593	3597	2458
594	3598	2449
595	3600	2440
596	3602	2431
597	3632	2441
598	3633	2432
599	3635	2423
600	3638	2415
601	3640	2406
602	3642	2398
603	3644	2389
604	3646	2380
605	3652	2374
606	3654	2366
607	3656	2357
608	3659	2349
609	3662	2341
610	3700	2356
611	3703	2347
612	3709	2341
613	3712	2333
614	3714	2325
615	3718	2317
616	3722	2310
617	3726	2303
618	3727	2294
619	3729	2286
620	3732	2278
621	3734	2269
622	3736	2261
623	3738	2252
624	3752	2251
625	3754	2243
626	3756	2234
627	3765	2230
628	3767	2221
629	3769	2213
630	3770	2205
631	3772	2196
632	3774	2188
633	3777	2180
634	3779	2172
635	3781	2164
636	3783	2156
637	3785	2147
638	3787	2139
639	3797	2135
640	3799	2127
641	3801	2119
642	3802	2111
643	3804	2103
644	3806	2095
645	3808	2087
646	3810	2079
647	3814	2071
648	3816	2063
649	3818	2055
650	3819	2047
651	3822	2039
652	3823	2031
653	3825	2024
654	3827	2016
655	3833	2010
656	3836	2002
657	3837	1994
658	3839	1986
659	3841	1979
660	3843	1971
661	3845	1963
662	3847	1955
663	3850	1948
664	3852	1940
665	3854	1933
666	3856	1925
667	3858	1917
668	3860	1910
669	3865	1903
670	3870	1897
671	3872	1890
672	3874	1882
673	3876	1875
674	3882	1869
675	3884	1861
676	3887	1854
677	3889	1847
678	3891	1839
679	3893	1832
680	3894	1824
681	3896	1816
682	3898	1809
683	3906	1804
684	3908	1797
685	3910	1790
686	3912	1782
687	3914	1775
688	3916	1767
689	3918	1760
690	3919	1752
691	3926	1747
692	3929	1740
693	3930	1733
694	3933	1726
695	3934	1718
696	3936	1711
697	3938	1703
698	3940	1696
699	3952	1693
700	3954	1686
701	3956	1679
702	3958	1672
703	3959	1664
704	3964	1658
705	3966	1651
706	3967	1644
707	3987	1644
708	3989	1637
709	3991	1630
710	3992	1623
711	3994	1615
712	3996	1608
713	3998	1601
714	4002	1595
715	4004	1588
716	4013	1584
717	4015	1577
718	4017	1569
719	4021	1563
720	4022	1556
721	4025	1549
722	4027	1542
723	4028	1535
724	4030	1528
725	4032	1521
726	4034	1515
727	4038	1508
728	4040	1502
729	4042	1495
730	4044	1488
731	4047	1481
732	4049	1474
733	4050	1468
734	4053	1461
735	4057	1455
736	4059	1448
737	4061	1441
738	4065	1436
739	4067	1429
740	4069	1422
741	4071	1415
742	4080	1411
743	4082	1404
744	4084	1397
745	4089	1392
746	4094	1386
747	4103	1382
748	4105	1375
749	4107	1369
750	4108	1362
751	4113	1356
752	4115	1349
753	4117	1343
754	4120	1337
755	4122	1330
756	4123	1323
757	4125	1317
758	4127	1310
759	4131	1304
760	4132	1298
761	4135	1291
762	4155	1290
763	4157	1284
764	4159	1277
765	4161	1271
766	4165	1265
767	4173	1260
768	4176	1254
769	4178	1248
770	4180	1241
771	4182	1235
772	4186	1229
773	4192	1224
774	4195	1218
775	4197	1211
776	4206	1207
777	4210	1201
